t=0  22:05:43,53     01.05.2019;;;;;;;;
time;Ug;CosPhi;Ie;Qg;Pg;Uf;Fg Hz;Alpha gr
1,430;0,964;0,977;0,364;0,072;0,207;0,371;50,000;87,500
1,440;0,965;0,977;0,362;0,073;0,207;0,368;50,000;86,400
1,450;0,965;0,972;0,362;0,075;0,207;0,368;50,000;87,300
1,460;0,965;0,972;0,361;0,075;0,207;0,367;50,000;87,300
1,470;0,964;0,972;0,359;0,074;0,207;0,360;50,000;89,200
1,480;0,965;0,972;0,354;0,075;0,207;0,352;50,000;88,500
1,490;0,965;0,972;0,350;0,076;0,207;0,350;50,000;89,300
1,500;0,965;0,967;0,345;0,076;0,207;0,338;50,000;87,700
1,510;0,964;0,972;0,342;0,076;0,208;0,333;50,000;88,100
1,520;0,965;0,972;0,342;0,075;0,208;0,330;50,000;85,900
1,530;0,965;0,972;0,343;0,074;0,207;0,328;50,000;86,400
1,540;0,965;0,972;0,345;0,074;0,207;0,328;50,000;85,400
1,550;0,965;0,972;0,346;0,073;0,207;0,328;50,000;86,500
1,560;0,965;0,967;0,346;0,074;0,207;0,327;50,000;85,900
1,570;0,964;0,972;0,346;0,074;0,207;0,328;50,000;86,200
1,580;0,965;0,972;0,346;0,073;0,207;0,328;50,000;84,800
1,590;0,964;0,972;0,348;0,072;0,207;0,332;50,000;85,000
1,600;0,965;0,977;0,351;0,071;0,207;0,336;50,000;83,500
1,610;0,964;0,972;0,356;0,072;0,206;0,343;50,000;83,500
1,620;0,965;0,972;0,361;0,071;0,206;0,351;50,000;82,400
1,630;0,964;0,972;0,366;0,070;0,206;0,360;50,000;83,100
1,640;0,965;0,977;0,371;0,070;0,206;0,368;50,000;82,900
1,650;0,964;0,973;0,375;0,070;0,205;0,377;50,000;84,600
1,660;0,965;0,977;0,377;0,071;0,206;0,382;50,000;84,700
1,670;0,964;0,977;0,376;0,071;0,206;0,386;50,000;86,700
1,680;0,965;0,972;0,375;0,070;0,206;0,385;50,000;86,300
1,690;0,965;0,977;0,372;0,070;0,206;0,385;50,000;87,400
1,700;0,965;0,973;0,369;0,070;0,205;0,382;50,000;87,300
