t=0  6:46:44,50     26.01.2018;;;;;;;;
time;Ug;Ig;MaxSetUgV/Hz;Qg;If;Uf;Fg Hz;Alpha gr
1,690;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,700;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,900
1,710;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
1,720;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,730;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
1,740;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,750;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
1,760;1,099;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,770;1,101;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,780;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,790;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
1,800;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,700
1,810;1,100;0,000;1,100;0,000;0,375;0,310;50,000;85,800
1,820;1,099;0,000;1,100;0,000;0,374;0,310;50,000;85,600
1,830;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,700
1,840;1,100;0,000;1,100;0,000;0,375;0,312;50,000;85,800
1,850;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
1,860;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
1,870;1,100;0,000;1,100;0,000;0,375;0,311;49,990;85,800
1,880;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,890;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,900;1,099;0,000;1,100;0,000;0,374;0,311;50,000;85,800
1,910;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
1,920;1,099;0,000;1,100;0,000;0,374;0,312;50,000;86,000
1,930;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
1,940;1,099;0,000;1,100;0,000;0,375;0,313;50,000;86,100
1,950;1,101;0,000;1,100;0,000;0,375;0,313;49,990;86,100
1,960;1,100;0,000;1,100;0,000;0,375;0,313;49,990;86,000
1,970;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
1,980;1,100;0,000;1,100;0,000;0,375;0,312;50,000;86,000
1,990;1,101;0,000;1,100;0,000;0,375;0,312;50,000;85,900
2,000;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,900
2,010;1,100;0,000;1,100;0,000;0,375;0,311;50,000;85,800
